id	title	provider	score	rating	level	duration	language	skills	enroll
657	                      Industrial IoT Markets and Security	                      University of Colorado Boulder	                      4.6	                      45	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      	                      2,951	
658	                      Geographical Information Systems - Part 1	                      École Polytechnique Fédérale de Lausanne	                      0	                      0	                      Beginner Level	                      Approx. 20 hours to complete	                      English	                      	                      1,896	
660	                      Understanding User Needs	                      University of Michigan	                      4.7	                      127	                      Beginner Level	                      Approx. 17 hours to complete	                      English	                      Affinity Diagram,User Research,User Experience (UX),human computer interaction	                      2,938	
663	                      FinTech Security and Regulation (RegTech)	                      The Hong Kong University of Science and Technology	                      4.5	                      48	                      Beginner Level	                      Approx. 16 hours to complete	                      English	                      	                      2,195	
664	                      Shortest Paths Revisited, NP-Complete Problems and What To Do About Them	                      Stanford University	                      4.8	                      537	                      Intermediate Level	                      Approx. 19 hours to complete	                      English	                      Algorithms,Np-Completeness,Data Structure,Dynamic Programming	                      20,870	
665	                      Journey of the Universe: The Unfolding of Life	                      Yale University	                      4.7	                      201	                      Mixed	                      Approx. 12 hours to complete	                      English	                      	                      16,937	
666	                      VLSI CAD Part I: Logic	                      University of Illinois at Urbana-Champaign	                      4.8	                      151	                      Intermediate Level	                      Approx. 26 hours to complete	                      English	                      Logic Gate,Digital Design,Boolean Algebra,Computer-Aided Design (CAD)	                      17,221	
668	                      Cyber Attack Countermeasures	                      New York University Tandon School of Engineering	                      4.8	                      281	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Cybersecurity,Cryptography,Public-Key Cryptography	                      4,987	
670	                      Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure	                      University of Illinois at Urbana-Champaign	                      4.1	                      461	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Cloud Applications,Cloud Computing,Cloud Storage,Cloud Infrastructure	                      31,346	
671	                      The Raspberry Pi Platform and Python Programming for the Raspberry Pi	                      University of California, Irvine	                      4.6	                      1,645	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Raspberry Pi,Computer Programming,Internet Of Things (IOT),Python Programming	                      67,967	
672	                      Cybersecurity and the Internet of Things	                      University System of Georgia	                      4.5	                      354	                      Intermediate Level	                      Approx. 7 hours to complete	                      English	                      Cybersecurity,Wearable Technology,Internet Of Things (IOT),Wearable Devices	                      14,300	
673	                      MRI Fundamentals	                      Korea Advanced Institute of Science and Technology(KAIST)	                      4.7	                      41	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      	                      2,498	
674	                      Software Architecture for the Internet of Things	                      EIT Digital 	                      4.2	                      144	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Software Architecture,Non-Functional Requirement,Software Requirements,Architectural Pattern	                      14,219	
676	                      Internet of Things: How did we get here?	                      University of California San Diego	                      4.1	                      698	                      Mixed	                      Approx. 11 hours to complete	                      English	                      	                      31,741	
677	                      C++程序设计	                      Peking University	                      4.8	                      760	                      Mixed	                      Approx. 41 hours to complete	                      Chinese (Simplified)	                      	                      34,512	
678	                      Architecting Smart IoT Devices	                      EIT Digital 	                      4.3	                      90	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Real-Time Operating System (RTOS),Internet Of Things (IOT),Debugging	                      11,534	
680	                      Systèmes d’Information Géographique - Partie 2	                      École Polytechnique Fédérale de Lausanne	                      4.3	                      23	                      Beginner Level	                      Approx. 21 hours to complete	                      French	                      	                      4,702	
684	                      Cryptography and Information Theory	                      University of Colorado System	                      4.4	                      96	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      	                      3,924	
685	                      Web Connectivity and Security in Embedded Systems	                      EIT Digital 	                      4.5	                      104	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      	                      6,205	
686	                      Introduction to Architecting Smart IoT Devices	                      EIT Digital 	                      3.9	                      73	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      	                      9,352	
688	                      Mind of the Universe - Genetic Privacy: should we be concerned?	                      Universiteit Leiden	                      3.8	                      11	                      Beginner Level	                      Approx. 11 hours to complete	                      English	                      	                      2,069	
690	                      Cloud Computing Concepts: Part 2	                      University of Illinois at Urbana-Champaign	                      4.6	                      253	                      Mixed	                      Approx. 24 hours to complete	                      English	                      C++,NoSQL,Distributed Computing,Cloud Computing	                      17,884	
694	                      Interfacing with the Arduino	                      University of California, Irvine	                      4.7	                      1,981	                      Mixed	                      Approx. 11 hours to complete	                      English	                      	                      50,919	
695	                      Pressure, Force, Motion, and Humidity Sensors	                      University of Colorado Boulder	                      4.5	                      13	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      	                      1,745	
696	                      Digital Thread: Components	                      University at Buffalo,The State University of New York	                      4.5	                      261	                      Beginner Level	                      Approx. 6 hours to complete	                      English	                      	                      2,870	
701	                      Cybersecurity and Mobility	                      University System of Georgia	                      4.4	                      293	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      	                      11,618	
703	                      Geodesign: Change Your World	                      The Pennsylvania State University	                      4.8	                      29	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      	                      3,084	
704	                      Information Theory	                      The Chinese University of Hong Kong	                      4.6	                      22	                      Mixed	                      Approx. 22 hours to complete	                      English	                      	                      5,836	
705	                      Cloud Networking	                      University of Illinois at Urbana-Champaign	                      4.5	                      220	                      Mixed	                      Approx. 19 hours to complete	                      English	                      Software-Defined Networking,Cloud Computing,Python Programming,Cloud Infrastructure	                      22,427	
707	                      3D Interaction Design in Virtual Reality	                      University of London,Goldsmiths, University of London	                      4.7	                      51	                      Intermediate Level	                      Approx. 15 hours to complete	                      English	                      	                      3,465	
837	                      Single Page Web Applications with AngularJS	                      Johns Hopkins University	                      4.9	                      1,527	                      Intermediate Level	                      Approx. 36 hours to complete	                      English	                      Angularjs,Web Development,JavaScript,Unit Testing	                      62,072	
838	                      Metagenomics applied to surveillance of pathogens and antimicrobial resistance	                      Technical University of Denmark (DTU)	                      4.7	                      66	                      Mixed	                      Approx. 19 hours to complete	                      English	                      	                      3,165	
841	                      Peer-to-Peer Protocols and Local Area Networks	                      University of Colorado System	                      4.5	                      57	                      Mixed	                      Approx. 8 hours to complete	                      English	                      	                      2,692	
845	                      Symmetric Cryptography	                      University of Colorado System	                      4.5	                      69	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      	                      2,567	
846	                      Battery State-of-Charge (SOC) Estimation	                      University of Colorado System	                      4.8	                      26	                      Intermediate Level	                      Approx. 31 hours to complete	                      English	                      	                      1,880	
847	                      Ruby on Rails Web Services and Integration with MongoDB	                      Johns Hopkins University	                      4.3	                      304	                      Mixed	                      Approx. 26 hours to complete	                      English	                      Mongodb,Web Service,Ruby On Rails	                      19,567	
849	                      Recovering the Humankind's Past and Saving the Universal Heritage	                      Sapienza University of Rome	                      4.2	                      137	                      Mixed	                      Approx. 15 hours to complete	                      English	                      	                      8,106	
853	                      Responsive Website Tutorial and Examples	                      University of London,Goldsmiths, University of London	                      4.3	                      247	                      Mixed	                      Approx. 15 hours to complete	                      English	                      	                      23,031	
854	                      Cyber Security in Manufacturing	                      University at Buffalo,The State University of New York	                      4.6	                      86	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      2,077	
857	                      Internet of Things: Communication Technologies	                      University of California San Diego	                      4.5	                      176	                      Mixed	                      Approx. 6 hours to complete	                      English	                      	                      18,292	
858	                      Algorithmic Thinking (Part 2)	                      Rice University	                      4.7	                      163	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      Algorithms,Algorithmic Efficiency,Python Programming,Dynamic Programming	                      14,266	
860	                      Networks Illustrated: Principles without Calculus	                      Princeton University	                      4.4	                      47	                      Beginner Level	                      Approx. 25 hours to complete	                      English	                      	                      10,830	
861	                      Java Programming: Build a Recommendation System	                      Duke University	                      4.7	                      346	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Software Design,Data Structure,Interfaces,Java Programming	                      2,209	
869	                      Accediendo a la nube con iOS	                      Tecnológico de Monterrey	                      4.6	                      56	                      Mixed	                      Approx. 19 hours to complete	                      Spanish	                      	                      3,493	
872	                      Building Scalable Java Microservices with Spring Boot and Spring Cloud	                      Google Cloud	                      4.4	                      191	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      	                      12,129	
873	                      Architecting with Google Kubernetes Engine: Production	                      Google Cloud	                      4.7	                      346	                      Intermediate Level	                      Approx. 9 hours to complete	                      English	                      	                      3,442	
874	                      Patenting in Biotechnology	                      Technical University of Denmark (DTU),Copenhagen Business School	                      4.7	                      77	                      Beginner Level	                      Approx. 21 hours to complete	                      English	                      	                      4,791	
876	                      Information Security: Context and Introduction	                      University of London,Royal Holloway, University of London	                      4.6	                      668	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      Cybersecurity,Information Security (INFOSEC),Cryptography,Security Management	                      22,143	
881	                      Programming Foundations with JavaScript, HTML and CSS	                      Duke University	                      4.6	                      5,928	                      Beginner Level	                      Approx. 22 hours to complete	                      English	                      Html5,Cascading Style Sheets (CCS),JavaScript,Html	                      197,760	
884	                      Functional Programming Principles in Scala	                      École Polytechnique Fédérale de Lausanne	                      4.8	                      6,696	                      Intermediate Level	                      Approx. 23 hours to complete	                      English	                      Recursion,Scala Programming,Array Programming,Functional Programming	                      159,144	
885	                      Excel/VBA for Creative Problem Solving, Part 1	                      University of Colorado Boulder	                      4.9	                      1,222	                      Beginner Level	                      Approx. 20 hours to complete	                      English	                      Problem Solving,Debugging,Computer Programming,Microsoft Excel Vba	                      39,901	
887	                      The Sustainable Development Goals – A global, transdisciplinary vision for the future	                      University of Copenhagen	                      4.8	                      567	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      13,958	
889	                      Building Conversational Experiences with Dialogflow	                      Google Cloud	                      4.4	                      154	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      	                      6,880	
890	                      C++ For C Programmers, Part A	                      University of California, Santa Cruz	                      4.4	                      679	                      Mixed	                      Approx. 17 hours to complete	                      English	                      C++,C++11,Graph Theory,Graph Algorithms	                      99,357	
891	                      Programming Fundamentals	                      Duke University	                      4.7	                      1,384	                      Beginner Level	                      Approx. 15 hours to complete	                      English	                      Programming Language Concepts,Algorithms,C Programming,Problem Solving	                      40,556	
893	                      Building Cloud Services with the Java Spring Framework	                      Vanderbilt University	                      4.7	                      38	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      Hypertext Transfer Protocol (HTTP),Cloud Services,Java Spring Framework,Servlets,Web Application	                      6,185	
894	                      Основы разработки на C++: жёлтый пояс	                      Moscow Institute of Physics and Technology,Yandex	                      4.9	                      534	                      Intermediate Level	                      Approx. 51 hours to complete	                      Russian	                      Software Testing,Algorithms,C++17,Unit Testing	                      7,408	
896	                      Usable Security	                      University of Maryland, College Park	                      4.5	                      1,714	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Cybersecurity,Usability,User Interface,Privacy	                      39,383	
897	                      Algorithms on Graphs	                      University of California San Diego,National Research University Higher School of Economics	                      4.7	                      1,257	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      Graphs,Graph Theory,Graph Algorithms	                      50,418	
898	                      Intro to Digital Manufacturing with Autodesk Fusion 360	                      Autodesk	                      4.6	                      891	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      Sustainable Design,Mechanical Design,Computer-Aided Design (CAD),Manufacturing Processes	                      10,775	
899	                      Agile Planning for Software Products	                      University of Alberta	                      4.7	                      1,333	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Agile Software Development,Program Evaluation And Review Technique (PERT),Agile Management,Software Development	                      30,692	
900	                      App Deployment, Debugging, and Performance	                      Google Cloud	                      4.5	                      693	                      Intermediate Level	                      Approx. 5 hours to complete	                      English	                      Google Container Engine,Cloud Computing,Debugging,Google Cloud Platform	                      6,616	
901	                      Software Security	                      University of Maryland, College Park	                      4.6	                      969	                      Mixed	                      Approx. 22 hours to complete	                      English	                      Penetration Test,Fuzz Testing,Buffer Overflow,Sql Injection	                      41,869	
902	                      Machine Design Part I	                      Georgia Institute of Technology	                      4.8	                      922	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      Problem Solving,Materials,Failure,Mechanical Design	                      44,645	
903	                      Concurrent Programming in Java	                      Rice University	                      4.5	                      403	                      Intermediate Level	                      Approx. 14 hours to complete	                      English	                      Java Concurrency,Concurrency (Computer Science),Actor Model,Optimistic Concurrency Control	                      10,594	
906	                      Hardware Security	                      University of Maryland, College Park	                      4.1	                      363	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Hardware Design,Side-Channel Attack,Cryptographic Hardware,Montgomery Modular Multiplication	                      14,532	
907	                      Stereo Vision, Dense Motion & Tracking	                      University at Buffalo,The State University of New York	                      0	                      0	                      Intermediate Level	                      Approx. 13 hours to complete	                      English	                      Stereopsis,Computer Programming,3D Vision,Matlab	                      1,985	
908	                      Toward the Future of iOS Development with Swift	                      University of California, Irvine	                      3.8	                      76	                      Mixed	                      Approx. 31 hours to complete	                      English	                      	                      8,360	
909	                      Bitcoin and Cryptocurrency Technologies	                      Princeton University	                      4.7	                      2,063	                      Mixed	                      Approx. 18 hours to complete	                      English	                      Blockchains,Cryptocurrency,Bitcoin,Bitcoin Network	                      347,199	
910	                      計算機程式設計 (Computer Programming)	                      National Taiwan University	                      4.8	                      270	                      Mixed	                      Approx. 22 hours to complete	                      Chinese (Traditional)	                      Computer Programming,C Programming,Computer Display Standard	                      14,814	
914	                      Systèmes d’Information Géographique - Partie 1	                      École Polytechnique Fédérale de Lausanne	                      4.5	                      139	                      Beginner Level	                      Approx. 27 hours to complete	                      French	                      Qgis,Spatial Databases,SQL,Geographic Information System (GIS)	                      18,093	
915	                      Introduction to Graph Theory	                      University of California San Diego,National Research University Higher School of Economics	                      4.6	                      294	                      Beginner Level	                      Approx. 15 hours to complete	                      English	                      	                      16,682	
917	                      Operating Systems and You: Becoming a Power User	                      Google	                      4.6	                      5,613	                      Beginner Level	                      Approx. 27 hours to complete	                      English	                      Command-Line Interface,Powershell,Linux,Linux File Systems	                      49,184	
918	                      Contenido de las matemáticas de primaria	                      Universidad de los Andes	                      4.8	                      401	                      Beginner Level	                      Approx. 14 hours to complete	                      Spanish	                      	                      14,433	
1900	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1904	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1906	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1910	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1915	                      Fundamentals of Project Planning and Management	                      University of Virginia	                      4.7	                      2,241	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Risk Analysis,Management,Project Planning,Planning,Project Management	                      95,235	
1916	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1924	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1930	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1934	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1936	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1938	                      Management Fundamentals	                      University of Pennsylvania	                      4.6	                      121	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      3,513	
1940	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1944	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1945	                      Fundamentals of Project Planning and Management	                      University of Virginia	                      4.7	                      2,241	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Risk Analysis,Management,Project Planning,Planning,Project Management	                      95,235	
1946	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1948	                      Management Fundamentals	                      University of Pennsylvania	                      4.6	                      121	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      3,513	
1954	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1956	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1958	                      Management Fundamentals	                      University of Pennsylvania	                      4.6	                      121	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      3,513	
1960	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1964	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1966	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1970	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1975	                      Fundamentals of Project Planning and Management	                      University of Virginia	                      4.7	                      2,241	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Risk Analysis,Management,Project Planning,Planning,Project Management	                      95,235	
1976	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
1978	                      Management Fundamentals	                      University of Pennsylvania	                      4.6	                      121	                      Beginner Level	                      Approx. 7 hours to complete	                      English	                      	                      3,513	
1980	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1984	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1985	                      Fundamentals of Project Planning and Management	                      University of Virginia	                      4.7	                      2,241	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Risk Analysis,Management,Project Planning,Planning,Project Management	                      95,235	
1990	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
1994	                      The Manager's Toolkit: A Practical Guide to Managing People at Work	                      University of London,Birkbeck, University of London	                      4.6	                      613	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Decision-Making,Performance Management,Leadership,Management	                      27,489	
1995	                      Fundamentals of Project Planning and Management	                      University of Virginia	                      4.7	                      2,241	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      Risk Analysis,Management,Project Planning,Planning,Project Management	                      95,235	
1996	                      International Organizations Management	                      University of Geneva	                      4.8	                      306	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      	                      10,294	
2000	                      Digital Product Management: Modern Fundamentals	                      University of Virginia	                      4.7	                      1,038	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup	                      39,299	
